Index,Topic,Sentiment Score,Source,Keywords,Subjectivity Score
203,3,0.048,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.336
204,5,0.045,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0.424
205,5,-0.081,CNN,"said, market, canadian, canada, report, year, say, one, also, would",0.654
206,9,0.131,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.237
207,14,0.182,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.528
208,12,-0.028,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.354
209,3,0.136,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.526
210,11,0.055,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.252
211,9,0.316,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.556
212,11,0.094,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.511
213,10,0.043,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.3
214,4,0.207,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.466
215,11,0.04,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.452
216,12,0.043,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.323
217,4,0.174,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.491
218,7,0.251,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.529
219,1,0.083,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.648
220,20,0.07,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0.399
221,12,0.081,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.403
222,9,0.312,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.461
223,11,-0.059,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.274
224,12,0.087,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.371
225,9,-0.016,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.346
226,11,0.065,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.355
227,1,0.084,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.282
228,9,0.093,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.447
229,11,0.007,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.448
230,13,0.088,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.422
231,4,0.081,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.528
232,13,0.093,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.404
233,13,0.072,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.47
234,7,0.141,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.456
235,8,0.129,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.433
236,11,0.106,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.353
237,14,0.08,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.401
238,0,0,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0.164
239,7,-0.057,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.237
240,11,0.07,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.4
241,10,0.018,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.305
242,8,0.03,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.519
243,13,0.025,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.312
244,12,-0.005,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.443
245,12,0.071,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.352
246,11,0.012,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.364
247,3,0.119,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.333
248,12,0.068,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.321
249,1,-0.116,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.503
250,8,0.137,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.512
251,12,0.056,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.383
252,12,0.072,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.457
253,0,0.098,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0.413
254,9,0.2,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.449
255,9,0.333,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.375
256,0,0.017,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0.411
257,9,0.03,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.433
258,13,0.094,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.367
259,12,0.182,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.421
260,12,0.051,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.429
261,11,0.082,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.432
262,10,0.096,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.413
263,10,0.226,CNN,"said, coronaviru, year, govern, would, countri, open, world, one, new",0.465
264,12,0.137,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.406
265,8,0.054,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.354
266,12,0.091,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.361
267,11,0.103,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.347
268,8,-0.012,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.261
269,8,0.147,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.467
270,8,0.219,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.329
271,14,0.166,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.361
272,3,0.203,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.451
273,14,0.141,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.462
274,3,0.151,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.397
275,3,0.175,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.467
276,0,-0.091,CNN,"said, test, new, use, compani, canada, coronaviru, health, servic, covid-19",0.455
277,11,0.255,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.511
278,3,0.097,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.363
279,8,0.145,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.405
280,20,0.053,CNN,"said, one, time, would, may, market, also, n’t, govern, work",0.388
281,3,0.148,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.427
282,14,0.197,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.528
283,3,0.13,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.438
284,3,0.031,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.522
285,3,0.243,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.41
286,1,0.106,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.297
287,13,0.111,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.385
288,14,0.097,CNN,"n’t, said, say, like, get, time, peopl, day, one, would",0.402
289,11,0.17,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.444
290,7,0.162,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.433
291,4,0.147,CNN,"peopl, said, star, one, work, n’t, news, time, reader, get",0.416
292,3,0.132,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.457
293,8,0.093,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.415
294,13,0.138,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.469
295,13,0.08,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.447
296,11,0.132,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.4
297,3,0.157,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.463
298,8,0.195,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.47
299,1,0.091,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.432
300,11,0.12,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.378
301,9,0.107,CNN,"said, would, time, one, canada, coronaviru, say, n’t, year, covid-19",0.314
302,13,0.129,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.438
303,13,0.08,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.455
304,12,0.068,CNN,"said, peopl, covid-19, servic, health, includ, busi, also, coronaviru, work",0.314
305,3,0.164,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.435
306,13,0.139,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.435
307,11,0.121,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.425
308,13,0.044,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.259
309,13,0.117,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.396
310,13,0.084,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.293
311,7,0.178,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.365
312,13,0.138,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.4
313,13,0.208,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.536
314,8,0.085,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.387
315,13,0.129,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.445
316,11,0.079,CNN,"peopl, said, one, say, covid-19, year, home, time, get, case",0.378
317,13,0.056,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.397
318,8,0.028,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.413
319,1,0.073,CNN,"said, trump, coronaviru, presid, work, time, would, say, n’t, one",0.422
320,3,0.096,CNN,"n’t, one, get, time, said, make, like, ’re, say, use",0.453
321,13,0.129,CNN,"said, work, say, one, also, n’t, peopl, year, show, time",0.446
322,7,0.201,CNN,"n’t, one, car, year, said, time, peopl, get, like, music",0.445
323,8,0.08,CNN,"peopl, say, n’t, time, like, said, get, work, one, make",0.38
